code,name,brand,categories,countries,energy_kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,image_url,image_nutrition_url,is_nutrition_anomaly,anomaly_score,claim_legality,claim_confidence,meets_category_expectations,expectation_violations,training_label_score,training_label_risk
3701182300403,Protéine de chanvre,Alter Nutrition,"Dietary supplements, Bodybuilding supplements, Protein powders",en:France,350.0,11.0,1.3999999761581,8.8000001907349,4.1999998092651,45.0,0.11999999731779,,https://images.openfoodfacts.org/images/products/370/118/230/0403/front_en.10.400.jpg,https://images.openfoodfacts.org/images/products/370/118/230/0403/nutrition_en.12.400.jpg,False,-0.3741298120197414,unknown,0.5,True,,1.0,low
3701269701680,Maca en poudre Bio,Greenweez,"en:dietary-supplements, Boissons et préparations de boissons, Préparations pour boissons, Infusions, Maca",France,358.0,0.76,0.025,77.9,0.0,10.01,0.0,22.2,https://images.openfoodfacts.org/images/products/370/126/970/1680/front_fr.10.400.jpg,,False,-0.4348138180635605,unknown,0.5,True,,1.0,low
3701269708955,Granola bio Chocolat & Cacahuète,Greenweez,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Mueslis, Mueslis croustillants, Mueslis au chocolat, Mueslis croustillant au chocolat, Muesli croustillant au chocolat non enrichi en vitamines et minéraux",en:france,504.0,19.8,4.0,51.1,15.1,11.1,0.02,7.5,https://images.openfoodfacts.org/images/products/370/126/970/8955/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/370/126/970/8955/nutrition_en.5.400.jpg,False,-0.44493626752945414,unknown,0.5,False,High fat: 19.8 > 1,0.85,moderate
3701283800437,Biscuits Petit Dej & Goûter - Betterave & Fruits Rouges,GREENDOZ',"Snacks,Petit-déjeuners,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits secs,Biscuit aux céréales pour petit déjeuner enrichis en vitamines et minéraux,Biscuit sec pour petit déjeuner","Belgique,France",446.0,18.8,2.9,54.4,13.9,10.2,0.2,7.2,https://images.openfoodfacts.org/images/products/370/128/380/0437/front_fr.16.400.jpg,https://images.openfoodfacts.org/images/products/370/128/380/0437/nutrition_fr.18.400.jpg,False,-0.39716760102963194,unknown,0.5,False,High fat: 18.8 > 1,0.85,moderate
3701283800444,Biscuits Petit Dej & Goûter - Pois Gourmands & Citron,Greendoz,"Snacks,Petit-déjeuners,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits secs,Biscuit aux céréales pour petit déjeuner enrichis en vitamines et minéraux,Biscuit sec pour petit déjeuner",France,452.1,19.6,3.0,53.3,15.2,10.4,0.2,7.0,https://images.openfoodfacts.org/images/products/370/128/380/0444/front_fr.22.400.jpg,https://images.openfoodfacts.org/images/products/370/128/380/0444/nutrition_fr.24.400.jpg,False,-0.41303493986663,unknown,0.5,False,High fat: 19.6 > 1,0.85,moderate
3701299422043,Barre daily cacao,Vitaline,"Snacks, Snacks sucrés, Barres, Barres de céréales, Compléments alimentaires, Compléments pour le Bodybuilding, Barres de céréales au chocolat, Barre de céréales au chocolat renforcée en vitamines et minéraux, Barres protéinées",en:france,400.0,13.4,2.1,41.9,12.0,15.9,0.2,14.1,https://images.openfoodfacts.org/images/products/370/129/942/2043/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/370/129/942/2043/nutrition_fr.16.400.jpg,False,-0.4504831365849479,unknown,0.5,False,High fat: 13.4 > 1,0.85,moderate
3760007330087,Luxeol,Luxeol,en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0,https://images.openfoodfacts.org/images/products/376/000/733/0087/front_fr.4.400.jpg,,True,-0.5067364809158916,unknown,0.5,True,,0.8,moderate
3760007330193,Anaca3 Capteur De Graisses Et Sucres - Pilulier De,,en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://images.openfoodfacts.org/images/products/376/000/733/0193/front_fr.6.400.jpg,,False,-0.3605754959704405,unknown,0.5,True,,1.0,low
3760007330384,Brûleur de graisses,"Anaca 3, Anaca3",en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://images.openfoodfacts.org/images/products/376/000/733/0384/front_fr.33.400.jpg,https://images.openfoodfacts.org/images/products/376/000/733/0384/nutrition_fr.26.400.jpg,False,-0.3711905050459364,unknown,0.5,True,,1.0,low
3760016580169,Spray Nomade D'urgence à La Propolis,BOLLOT-FLURIN,Dietary supplements,France,77.0,0.0,0.0,19.0,9.9,0.0,0.02,,https://images.openfoodfacts.org/images/products/376/001/658/0169/front_fr.12.400.jpg,https://images.openfoodfacts.org/images/products/376/001/658/0169/nutrition_fr.24.400.jpg,False,-0.40471208967577077,unknown,0.5,True,,1.0,low
3760016580466,Extrait De Propolis Sans Alcool - 15 ML - Ballot-Flurin,Ballot-flurin,en:dietary-supplements,France,2.0,0.0,0.0,0.0,0.0,0.0,0.51,,https://images.openfoodfacts.org/images/products/376/001/658/0466/front_fr.17.400.jpg,,False,-0.3836023450712676,unknown,0.5,True,,1.0,low
3760048992039,Chlorella Crue En Poudre Bio - 200 G - Uberti,Uberti,en:dietary-supplements,en:france,22.0,12.7,3.0,19.5,1.6,55.0,0.4,,https://images.openfoodfacts.org/images/products/376/004/899/2039/front_fr.7.400.jpg,https://images.openfoodfacts.org/images/products/376/004/899/2039/nutrition_fr.9.400.jpg,True,-0.48330574828726797,unknown,0.5,True,,0.8,moderate
3760048992053,Formule Détox - 300 g Uberti,Uberti,en:dietary-supplements,France,382.0,11.9,2.1,34.9,1.2,22.0,0.2,23.35,https://images.openfoodfacts.org/images/products/376/004/899/2053/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/376/004/899/2053/nutrition_fr.7.400.jpg,False,-0.4367607982998305,unknown,0.5,True,,1.0,low
3760058420027,Aubier De Tilleul Bio - 30 Ampoules - La Gravelline,,en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://images.openfoodfacts.org/images/products/376/005/842/0027/front_fr.4.400.jpg,,False,-0.3605754959704405,unknown,0.5,True,,1.0,low
3760060286734,Spiruline Bio,,"Dietary supplements, Spirulina",en:France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://images.openfoodfacts.org/images/products/376/006/028/6734/front_en.6.400.jpg,,False,-0.3605754959704405,unknown,0.5,True,,1.0,low
3760060287335,Nature Attitude Magnésium Bisglycinate Chélaté,,en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://images.openfoodfacts.org/images/products/376/006/028/7335/front_fr.14.400.jpg,https://images.openfoodfacts.org/images/products/376/006/028/7335/nutrition_fr.16.400.jpg,False,-0.3605754959704405,unknown,0.5,True,,1.0,low
3760060287380,Nature Attitude Collagène Marin De Bretagne,Pharmacie Nature 🌿 Micronutrition,en:dietary-supplements,France,0.0,,,,,,,,https://images.openfoodfacts.org/images/products/376/006/028/7380/front_fr.9.400.jpg,,False,-0.3605754959704405,unknown,0.5,True,,1.0,low
3760060620682,EPITACT HALLUX BESCHERMER M,,en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,https://images.openfoodfacts.org/images/products/376/006/062/0682/nutrition_fr.7.400.jpg,False,-0.3605754959704405,unknown,0.5,True,,1.0,low
3760081800063,Vanille & chocolat blanc,So Shape,"Meals, Dried products, Dried products to be rehydrated, Dried meals, fr:Vegetarien, en:meal-replacements",France,376.0,8.6,1.5,30.0,8.1,42.0,0.4,5.3,https://images.openfoodfacts.org/images/products/376/008/180/0063/front_fr.14.400.jpg,https://images.openfoodfacts.org/images/products/376/008/180/0063/nutrition_fr.28.400.jpg,False,-0.5040652144807803,unknown,0.5,True,,1.0,low
3760089780022,Oméga Source - 120 Gélules - Natésis,,en:dietary-supplements,France,0.0,0.25,0.0,0.0,0.0,0.0,,,https://images.openfoodfacts.org/images/products/376/008/978/0022/front_fr.10.400.jpg,,False,-0.36488914536455586,unknown,0.5,True,,1.0,low
3760101450056,Jus d'Aloé Vera BIO,NaturAloé,"Dietary supplements, en:aloe-vera-drinks","France,Belgique",5.0,0.5,0.1,1.3,0.8,0.3,0.0125,,https://images.openfoodfacts.org/images/products/376/010/145/0056/front_fr.31.400.jpg,https://images.openfoodfacts.org/images/products/376/010/145/0056/nutrition_fr.35.400.jpg,False,-0.37835842385583,unknown,0.5,True,,1.0,low
3760102775493,"Tisane Émotion : femme, harmonie et plénitude",DEVA,en:herbal-tea-blends,en:france,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,https://images.openfoodfacts.org/images/products/376/010/277/5493/front_fr.4.400.jpg,,False,-0.3792550874367031,unknown,0.5,True,,1.0,low
3760103006732,Protein whey,,en:protein-powders,France,442.0,9.7,0.1,11.0,0.5,77.0,0.03,,https://images.openfoodfacts.org/images/products/376/010/300/6732/front_fr.4.400.jpg,,False,-0.4654997791909079,unknown,0.5,True,,1.0,low
3760105561239,"Petites coquilles Saint Jacques en sauce SPANICO, boîte de",Spanico,"Produits de la mer, Snacks, Snacks salés, Amuse-gueules, Plats préparés, Coquilles Saint-Jacques, Coquillage, Fruits-de-mer-cuisines, Proteine-de-la-mer, Tapas-de-la-mer",France,129.0,6.5,1.1,3.0,0.0,15.0,0.7,,https://images.openfoodfacts.org/images/products/376/010/556/1239/front_fr.15.400.jpg,https://images.openfoodfacts.org/images/products/376/010/556/1239/nutrition_fr.4.400.jpg,True,-0.5079026457849145,unknown,0.5,True,,0.8,moderate
3760115096141,Tonic'gel,MelTonic,"Breakfasts,Spreads,Sweet spreads,Bee products,Sweeteners,Honey-based preparations,Dietary supplements",France,314.0,0.0,0.0,77.8,77.0,0.6,3.8,,,https://images.openfoodfacts.org/images/products/376/011/509/6141/nutrition_fr.30.400.jpg,True,-0.5814728554234334,unknown,0.5,True,,0.8,moderate
3760120250019,Jus d'Ananas,IRA pineapple Juice,"fr:Information nutritionnelle, en:pineapple-juices","France,Bénin",44.57,0.0,0.0,13.0,0.0,0.29,0.0,14.0,https://images.openfoodfacts.org/images/products/376/012/025/0019/front_en.30.400.jpg,https://images.openfoodfacts.org/images/products/376/012/025/0019/nutrition_en.34.400.jpg,False,-0.5388954003919777,unknown,0.5,True,,1.0,low
3760121211989,Acérola,Biocoop,en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,0.0,,,https://images.openfoodfacts.org/images/products/376/012/121/1989/front_fr.6.400.jpg,https://images.openfoodfacts.org/images/products/376/012/121/1989/nutrition_fr.12.400.jpg,False,-0.3605754959704405,unknown,0.5,True,,1.0,low
3760134850311,Yaourt Bio Fruits,Le Ya’B,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, en:yoghurts-high-in-protein-on-a-fruit-layer",France,93.0,4.0,3.0,10.0,8.0,3.0,0.0,,https://images.openfoodfacts.org/images/products/376/013/485/0311/front_fr.20.400.jpg,https://images.openfoodfacts.org/images/products/376/013/485/0311/nutrition_fr.19.400.jpg,False,-0.43925702944953515,unknown,0.5,False,Low protein: 3.0 < 15; High sugar: 8.0 > 5,0.85,moderate
