code,name,brand,categories,countries,energy_kcal,fat,sugar,protein,salt,integrity_score,risk_level
3700195660252,Zinc 30MG - 100 Comprimés - Vitall+,Vit'All +,en:dietary-supplements,France,0.0,0.0,0.0,0.0,,1.0,low
3700195660313,Proteine vegetales,Vit’all +,en:protein-powders,France,120.0,2.0,4.0,21.0,0.0,0.9688426833790991,low
3700195676116,Protéines végétales,Vit All,en:dietary-supplements,France,400.0,6.67,13.3,70.0,3.25,0.7702646192580417,moderate
3700195676147,Vitamine D3 Végétale 20 µG - 100 Comprimés,VIT'ALL+,"Compléments alimentaires, Vitamines",France,0.0,0.0,0.0,0.0,,1.0,low
3700216205776,L'HERBOTHICAIRE Harpagophytum Bio,Gph diffusion,en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,1.0,low
3700216243334,Psyllium Blond Bio - 250GR,Nature Et Plante,en:dietary-supplements,France,10.0,0.9,0.0,0.6,0.0,0.8579541799956224,moderate
3700216250349,Ginkgo biloba bio,Bio Atlantic,en:dietary-supplements,France,0.0,0.0,0.0,0.0,0.0,1.0,low
3700221311882,Forte Pahrma Minigum Defenses Gout Pomme X50,Forté Pharma,en:dietary-supplements,France,1.0,1.0,100.0,1.0,0.0,0.8033065070988177,moderate
3700221311899,Forte Pharma Minigum Croissance Gout Cola X50,forte  pharma,"Compléments alimentaires, Vitamines",France,0.0,0.0,0.0,0.0,0.0,1.0,low
3700225601842,Burn Fat - 120 Gélules,,en:dietary-supplements,France,0.0,0.0,0.0,0.0,,1.0,low
3700225602283,Gummies Multivitaminées - 60 Gommes - Pediakid,Pediakid,"Snacks, Sweet snacks, Confectioneries, Candies, en:vitamins","France, en:morocco",0.0,0.0,0.0,0.0,0.0,0.8229101858735125,moderate
3700225604164,Guarana Shot,Stc nutrition,en:dietary-supplements,France,0.0,0.0,,0.0,,1.0,low
3700225605093,Iron force,Stc nutrition,en:dietary-supplements,France,305.0,1.6,27.0,36.0,0.7,0.9112588688129224,moderate
3700256725357,Détox Scandinave Défenses naturelles,Palais des Thés,en:herbal-teas,France,0.0,0.0,0.0,0.0,0.0,1.0,low
